SKU,WeBuy,Ziffit,MM,Zapper,WBB,MAX,,WeBuy,Ziffit,MM,Zapper,WBB,
5.01719E+12,0,33,,10,10,33,,0,33,0,0,0,
5.02656E+12,400,342,,178,294,400,,400,0,0,0,0,
5.0145E+12,1,0,,11,0,11,,0,0,0,11,0,
5.05007E+12,1,51,,20,10,51,,0,51,0,0,0,
7.3219E+12,180,178,,101,132,180,,180,0,0,0,0,
5.05308E+12,90,57,,68,49,90,,90,0,0,0,0,
5.05189E+12,1,51,,14,0,51,,0,51,0,0,0,
5.01444E+12,1,54,,18,20,54,,0,54,0,0,0,
5.03031E+12,1,41,,4,0,41,,0,41,0,0,0,
5.03582E+12,1,0,,9,0,9,,0,0,0,9,0,
5.01444E+12,1,35,,0,20,35,,0,35,0,0,0,
5.05058E+12,1,35,,39,18,39,,0,0,0,39,0,
3.25919E+12,1,21,,13,0,21,,0,21,0,0,0,
5.03031E+12,20,21,,23,20,23,,0,0,0,23,0,
8.71742E+12,70,23,,28,20,70,,70,0,0,0,0,
5.03904E+12,0,0,,11,0,11,,0,0,0,11,0,
5.03904E+12,1,0,,6,0,6,,0,0,0,6,0,
5.03031E+12,1,0,,4,0,4,,0,0,0,4,0,
5.03031E+12,1,20,,18,0,20,,0,20,0,0,0,
5.05058E+12,1,21,,31,0,31,,0,0,0,31,0,
12569506329,0,65,,0,48,65,,0,65,0,0,0,
8.71742E+12,30,21,,11,10,30,,30,0,0,0,0,
5.02884E+12,30,46,,11,30,46,,0,46,0,0,0,
5.03904E+12,30,36,,26,46,46,,0,0,0,0,46,
5.05112E+12,10,34,,0,23,34,,0,34,0,0,0,
5.05137E+12,70,36,,84,30,84,,0,0,0,84,0,
5.05058E+12,400,318,,122,292,400,,400,0,0,0,0,
X16-96408-01,0,0,,0,0,0,,0,0,0,0,0,
3.30721E+12,20,0,,21,14,21,,0,0,0,21,0,
5.01649E+12,120,0,,0,0,120,,120,0,0,0,0,
5.02129E+12,20,21,,44,20,44,,0,0,0,44,0,
5.03093E+12,50,0,,0,30,50,,50,0,0,0,0,
5.01649E+12,1,0,,0,0,1,,1,0,0,0,0,
5.03093E+12,100,0,,0,0,100,,100,0,0,0,0,
5.03093E+12,700,642,,608,514,700,,700,0,0,0,0,
5.01444E+12,1,22,,27,20,27,,0,0,0,27,0,
7.3219E+12,1,22,,10,20,22,,0,22,0,0,0,
5.01444E+12,1,22,,15,0,22,,0,22,0,0,0,
5.03904E+12,1,0,,4,0,4,,0,0,0,4,0,
5.05189E+12,0,56,,4,87,87,,0,0,0,0,87,
5.03904E+12,150,154,,67,95,154,,0,154,0,0,0,
5.05156E+12,1,0,,7,0,7,,0,0,0,7,0,
5.05189E+12,10,39,,7,0,39,,0,39,0,0,0,
6.86744E+12,30,36,,4,0,36,,0,36,0,0,0,
5.01724E+12,300,189,,105,124,300,,300,0,0,0,0,
7.3219E+12,1,0,,6,0,6,,0,0,0,6,0,
5.03582E+12,1,20,,32,0,32,,0,0,0,32,0,
5.03904E+12,1,20,,4,0,20,,0,20,0,0,0,
5.06005E+12,1,0,,7,0,7,,0,0,0,7,0,
5.05058E+12,1,0,,8,30,30,,0,0,0,0,30,
5.06005E+12,1,20,,12,10,20,,0,20,0,0,0,
6.86744E+12,20,70,,92,58,92,,0,0,0,92,0,
5.03904E+12,1,0,,18,8,18,,0,0,0,18,0,
5.01414E+12,20,0,,38,17,38,,0,0,0,38,0,
3.30722E+12,50,53,,38,79,79,,0,0,0,0,79,
5.02129E+12,100,54,,83,64,100,,100,0,0,0,0,
5.03093E+12,20,22,,57,34,57,,0,0,0,57,0,
5.03092E+12,300,356,,300,377,377,,0,0,0,0,377,
5.03093E+12,130,181,,61,137,181,,0,181,0,0,0,
8.8537E+11,10,56,,76,12,76,,0,0,0,76,0,
5.05189E+12,60,58,,72,58,72,,0,0,0,72,0,
5.01724E+12,300,72,,26,68,300,,300,0,0,0,0,
5.03904E+12,70,29,,83,17,83,,0,0,0,83,0,
5.06026E+12,20,29,,30,14,30,,0,0,0,30,0,
5.0552E+12,20,49,,13,0,49,,0,49,0,0,0,
8.8537E+11,0,265,,248,271,271,,0,0,0,0,271,
5.05058E+12,70,85,,8,26,85,,0,85,0,0,0,
6.86744E+12,1,0,,8,20,20,,0,0,0,0,20,
4.00521E+12,0,37,,41,58,58,,0,0,0,0,58,
5.03093E+12,20,0,,0,0,20,,20,0,0,0,0,
5.03092E+12,0,1973,,1299,1584,1973,,0,1973,0,0,0,
5.01444E+12,1,21,,11,0,21,,0,21,0,0,0,
5.06012E+12,1,0,,8,15,15,,0,0,0,0,15,
5.03582E+12,1,21,,17,10,21,,0,21,0,0,0,
77779317820,1,18,,24,0,24,,0,0,0,24,0,
5.05189E+12,190,64,,19,48,190,,190,0,0,0,0,
5.01444E+12,1,0,,12,0,12,,0,0,0,12,0,
5.05058E+12,1,0,,10,0,10,,0,0,0,10,0,
5.05189E+12,1,22,,28,20,28,,0,0,0,28,0,
5.0145E+12,200,168,,118,141,200,,200,0,0,0,0,
5.03712E+12,0,25,,21,10,25,,0,25,0,0,0,
5.05156E+12,0,0,,21,58,58,,0,0,0,0,58,
9.78086E+12,0,0,,0,0,0,,0,0,0,0,0,
9.78111E+12,0,323,,200,295,323,,0,323,0,0,0,
9.78001E+12,0,0,,0,0,0,,0,0,0,0,0,
5.03904E+12,1,0,,21,17,21,,0,0,0,21,0,
5.01414E+12,1,20,,25,0,25,,0,0,0,25,0,
5.03582E+12,1,20,,19,0,20,,0,20,0,0,0,
6.02528E+11,1,23,,37,5,37,,0,0,0,37,0,
9.78033E+12,0,0,,37,0,37,,0,0,0,37,0,
6.00753E+11,10,0,,37,0,37,,0,0,0,37,0,
9.78039E+12,0,0,,0,0,0,,0,0,0,0,0,
9.78039E+12,0,0,,0,0,0,,0,0,0,0,0,
9.78014E+12,0,0,,0,58,58,,0,0,0,0,58,
9.78014E+12,0,0,,37,0,37,,0,0,0,37,0,
9.7801E+12,0,0,,10,0,10,,0,0,0,10,0,
9.78014E+12,0,0,,22,0,22,,0,0,0,22,0,
9.78055E+12,0,0,,24,10,24,,0,0,0,24,0,
9.7801E+12,0,0,,0,0,0,,0,0,0,0,0,
9.7819E+12,0,0,,24,0,24,,0,0,0,24,0,
9.78058E+12,0,0,,9,7,9,,0,0,0,9,0,
9.78159E+12,0,80,,0,10,80,,0,80,0,0,0,
9.78055E+12,0,0,,7,0,7,,0,0,0,7,0,
9.78075E+12,0,0,,7,0,7,,0,0,0,7,0,
9.78055E+12,0,0,,17,10,17,,0,0,0,17,0,
,,,,,,,,,,,,,
,4478,6996,0,5265,5652,9112,,3251,3542,0,1220,1099,9112
,,,,,,,,2551,3575,967,933,916,8942
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,17,28,0,43,11,99
