SKU,WeBuy,Ziffit,MM,Zapper,WBB
9781444707922,0,30,0,0,10
5050583016177,1,0,21,8,0
035628640826,1,48,21,18,0
5099751915324,1,54,22,23,0
828765459822,1,51,17,23,0
602498800140,10,52,19,30,10
075992607421,1,44,15,40,0
078221869928,1,48,10,13,0
828765843027,1,35,12,4,0
825646372935,1,36,16,26,0
9781592572694,0,80,26,0,10
602517851214,1,21,15,14,0
885370611670,300,25,576,501,576
724357938020,1,0,13,4,0
5022810151128,0,0,11,0,0
731456810928,1,0,11,0,0
05462582,0,0,10,0,0
008817008127,1,22,10,11,0
9780857820679,0,0,10,0,0
5018271320029,10,0,5,0,5
075678091728,1,0,10,8,0
5030944111109,1,0,20,3,0
602517891890,1,0,12,18,0
042283156326,1,20,15,35,0
075678249723,1,20,15,30,0
5050582829860,1,85,57,81,80
5099943320523,0,0,57,9,5
093624949022,1,41,30,63,0
886977558122,0,0,15,19,0
602527209821,10,0,15,17,0
5099967896820,10,21,15,28,5
602517952980,1,23,15,32,10
886977650222,1,21,14,27,5
602517345843,1,0,13,16,0
077779500925,0,0,15,39,0
886978436429,1,22,5,25,5
042284694728,10,72,37,31,55
077779500628,0,0,5,16,4
008811952921,1,0,15,19,0
5012981249625,1,19,15,19,0
